varied_parameter,facility_capacity_mw,server_power_kw,gpus_per_server,servers_per_rack,network_power_kw,racks_per_pod,pue,rack_it_power_kw,pod_it_power_mw,pod_facility_power_mw,max_it_capacity_mw,max_pods,total_racks,total_gpus,deployed_it_power_mw,used_capacity_mw,remaining_capacity_mw,capacity_utilization_pct,deployed_overhead_mw
pue,500,14.3,8,4,1.5,32,1.48,58.7,1.8784,2.780032,337.8378378378378,179,5728,183296,336.2336,497.625728,2.374272,99.5251456,161.392128
pue,500,14.3,8,4,1.5,32,1.49,58.7,1.8784,2.798816,335.5704697986577,178,5696,182272,334.3552,498.189248,1.810752,99.63784960000001,163.834048
pue,500,14.3,8,4,1.5,32,1.5,58.7,1.8784,2.8176,333.3333333333333,177,5664,181248,332.4768,498.7152,1.2848,99.74304,166.2384
pue,500,14.3,8,4,1.5,32,1.51,58.7,1.8784,2.836384,331.12582781456956,176,5632,180224,330.5984,499.203584,0.796416,99.8407168,168.605184
pue,500,14.3,8,4,1.5,32,1.52,58.7,1.8784,2.855168,328.94736842105266,175,5600,179200,328.72,499.6544,0.3456,99.93088,170.9344
pue,500,14.3,8,4,1.5,32,1.53,58.7,1.8784,2.873952,326.797385620915,173,5536,177152,324.9632,497.193696,2.806304,99.43873919999999,172.230496
pue,500,14.3,8,4,1.5,32,1.54,58.7,1.8784,2.892736,324.6753246753247,172,5504,176128,323.0848,497.550592,2.449408,99.5101184,174.465792
pue,500,14.3,8,4,1.5,32,1.55,58.7,1.8784,2.91152,322.5806451612903,171,5472,175104,321.2064,497.86992,2.13008,99.573984,176.66352
pue,500,14.3,8,4,1.5,32,1.56,58.7,1.8784,2.930304,320.5128205128205,170,5440,174080,319.328,498.15168,1.84832,99.630336,178.82368
pue,500,14.3,8,4,1.5,32,1.57,58.7,1.8784,2.949088,318.47133757961785,169,5408,173056,317.4496,498.395872,1.604128,99.67917440000001,180.946272
pue,500,14.3,8,4,1.5,32,1.58,58.7,1.8784,2.967872,316.45569620253167,168,5376,172032,315.5712,498.602496,1.397504,99.72049919999999,183.031296
pue,500,14.3,8,4,1.5,32,1.59,58.7,1.8784,2.986656,314.4654088050315,167,5344,171008,313.6928,498.771552,1.228448,99.75431040000001,185.078752
pue,500,14.3,8,4,1.5,32,1.6,58.7,1.8784,3.00544,312.5,166,5312,169984,311.8144,498.90304,1.09696,99.78060799999999,187.08864
