varied_parameter,facility_capacity_mw,server_power_kw,gpus_per_server,servers_per_rack,network_power_kw,racks_per_pod,pue,rack_it_power_kw,pod_it_power_mw,pod_facility_power_mw,max_it_capacity_mw,max_pods,total_racks,total_gpus,deployed_it_power_mw,used_capacity_mw,remaining_capacity_mw,capacity_utilization_pct,deployed_overhead_mw
racks_per_pod,500,14.3,8,4,1.5,8,1.2,58.7,0.4696,0.56352,416.6666666666667,887,7096,227072,416.5352,499.84224,0.15776,99.968448,83.30704
racks_per_pod,500,14.3,8,4,1.5,16,1.2,58.7,0.9392,1.12704,416.6666666666667,443,7088,226816,416.0656,499.27872,0.72128,99.855744,83.21312
racks_per_pod,500,14.3,8,4,1.5,24,1.2,58.7,1.4088,1.69056,416.6666666666667,295,7080,226560,415.596,498.7152,1.2848,99.74304,83.1192
racks_per_pod,500,14.3,8,4,1.5,32,1.2,58.7,1.8784,2.25408,416.6666666666667,221,7072,226304,415.1264,498.15168,1.84832,99.630336,83.02528
racks_per_pod,500,14.3,8,4,1.5,40,1.2,58.7,2.348,2.8176,416.6666666666667,177,7080,226560,415.596,498.7152,1.2848,99.74304,83.1192
racks_per_pod,500,14.3,8,4,1.5,48,1.2,58.7,2.8176,3.38112,416.6666666666667,147,7056,225792,414.1872,497.02464,2.97536,99.404928,82.83744
racks_per_pod,500,14.3,8,4,1.5,56,1.2,58.7,3.2872,3.94464,416.6666666666667,126,7056,225792,414.1872,497.02464,2.97536,99.404928,82.83744
racks_per_pod,500,14.3,8,4,1.5,64,1.2,58.7,3.7568,4.50816,416.6666666666667,110,7040,225280,413.248,495.8976,4.1024,99.17952,82.6496
