varied_parameter,facility_capacity_mw,server_power_kw,gpus_per_server,servers_per_rack,network_power_kw,racks_per_pod,pue,rack_it_power_kw,pod_it_power_mw,pod_facility_power_mw,max_it_capacity_mw,max_pods,total_racks,total_gpus,deployed_it_power_mw,used_capacity_mw,remaining_capacity_mw,capacity_utilization_pct,deployed_overhead_mw
servers_per_rack,500,14.3,8,1,1.5,32,1.2,15.8,0.5056,0.60672,416.6666666666667,824,26368,210944,416.6144,499.93728,0.06272,99.987456,83.32288
servers_per_rack,500,14.3,8,2,1.5,32,1.2,30.1,0.9632,1.15584,416.6666666666667,432,13824,221184,416.1024,499.32288,0.67712,99.864576,83.22048
servers_per_rack,500,14.3,8,3,1.5,32,1.2,44.4,1.4208,1.70496,416.6666666666667,293,9376,225024,416.2944,499.55328,0.44672,99.910656,83.25888
servers_per_rack,500,14.3,8,4,1.5,32,1.2,58.7,1.8784,2.25408,416.6666666666667,221,7072,226304,415.1264,498.15168,1.84832,99.630336,83.02528
servers_per_rack,500,14.3,8,5,1.5,32,1.2,73.0,2.336,2.8032,416.6666666666667,178,5696,227840,415.808,498.9696,1.0304,99.79392,83.1616
servers_per_rack,500,14.3,8,6,1.5,32,1.2,87.3,2.7936,3.35232,416.6666666666667,149,4768,228864,416.2464,499.49568,0.50432,99.899136,83.24928
